DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,Rightwing,RightwingMarker20200,RightwingMarker20200,RightwingMarker20200,RightwingMarker20201,RightwingMarker20201,RightwingMarker20201,RightwingMarker20202,RightwingMarker20202,RightwingMarker20202,RightwingMarker20203,RightwingMarker20203,RightwingMarker20203,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,Leftwing,LeftwingMarker20400,LeftwingMarker20400,LeftwingMarker20400,LeftwingMarker20401,LeftwingMarker20401,LeftwingMarker20401,LeftwingMarker20402,LeftwingMarker20402,LeftwingMarker20402,LeftwingMarker20403,LeftwingMarker20403,LeftwingMarker20403,Marker148740,Marker148740,Marker148740,Marker148878,Marker148878,Marker148878,Marker151442,Marker151442,Marker151442,Marker151512,Marker151512,Marker151512,Marker151588,Marker151588,Marker151588,Marker151634,Marker151634,Marker151634,Marker151769,Marker151769,Marker151769,Marker151773,Marker151773,Marker151773,Marker151785,Marker151785,Marker151785,Marker151786,Marker151786,Marker151786,Marker151787,Marker151787,Marker151787,Marker151788,Marker151788,Marker151788,Marker151789,Marker151789,Marker151789,Marker151790,Marker151790,Marker151790,Marker151791,Marker151791,Marker151791,Marker151792,Marker151792,Marker151792,Marker151793,Marker151793,Marker151793,Marker151794,Marker151794,Marker151794,Marker151795,Marker151795,Marker151795,Marker151796,Marker151796,Marker151796,Marker151797,Marker151797,Marker151797,Marker151798,Marker151798,Marker151798,Marker151799,Marker151799,Marker151799,Marker151800,Marker151800,Marker151800,Marker151801,Marker151801,Marker151801,Marker151802,Marker151802,Marker151802,Marker151803,Marker151803,Marker151803,Marker151804,Marker151804,Marker151804,Marker151805,Marker151805,Marker151805,Marker151806,Marker151806,Marker151806,Marker151807,Marker151807,Marker151807,Marker151808,Marker151808,Marker151808,Marker151809,Marker151809,Marker151809,Marker151810,Marker151810,Marker151810,Marker151811,Marker151811,Marker151811,Marker151812,Marker151812,Marker151812,Marker151813,Marker151813,Marker151813,Marker151814,Marker151814,Marker151814,Marker151815,Marker151815,Marker151815,Marker151816,Marker151816,Marker151816,Marker151817,Marker151817,Marker151817,Marker151818,Marker151818,Marker151818,Marker151819,Marker151819,Marker151819,Marker151820,Marker151820,Marker151820,Marker151821,Marker151821,Marker151821,Marker151822,Marker151822,Marker151822,Marker151823,Marker151823,Marker151823,Marker151824,Marker151824,Marker151824,Marker151825,Marker151825,Marker151825,Marker151826,Marker151826,Marker151826,Marker151827,Marker151827,Marker151827,Marker151828,Marker151828,Marker151828,Marker151829,Marker151829,Marker151829,Marker151830,Marker151830,Marker151830,Marker151831,Marker151831,Marker151831,Marker151832,Marker151832,Marker151832,Marker151833,Marker151833,Marker151833,Marker151834,Marker151834,Marker151834,Marker151835,Marker151835,Marker151835,Marker151836,Marker151836,Marker151836,Marker151837,Marker151837,Marker151837,Marker151838,Marker151838,Marker151838,Marker151839,Marker151839,Marker151839,Marker151840,Marker151840,Marker151840,Marker151841,Marker151841,Marker151841,Marker151842,Marker151842,Marker151842,Marker151843,Marker151843,Marker151843,Marker151844,Marker151844,Marker151844,Marker151845,Marker151845,Marker151845,Marker151846,Marker151846,Marker151846,Marker151847,Marker151847,Marker151847,Marker151848,Marker151848,Marker151848,Marker151849,Marker151849,Marker151849,Marker151850,Marker151850,Marker151850,Marker151851,Marker151851,Marker151851,Marker151852,Marker151852,Marker151852,Marker151853,Marker151853,Marker151853,Marker151854,Marker151854,Marker151854,Marker151855,Marker151855,Marker151855,Marker151856,Marker151856,Marker151856,Marker151857,Marker151857,Marker151857,Marker151858,Marker151858,Marker151858,Marker151859,Marker151859,Marker151859,Marker151860,Marker151860,Marker151860,Marker151861,Marker151861,Marker151861,Marker151862,Marker151862,Marker151862,Marker151863,Marker151863,Marker151863,Marker151864,Marker151864,Marker151864,Marker151865,Marker151865,Marker151865,Marker151866,Marker151866,Marker151866,Marker148021,Marker148021,Marker148021,Marker148722,Marker148722,Marker148722,Marker151867,Marker151867,Marker151867,Marker151868,Marker151868,Marker151868,Marker151869,Marker151869,Marker151869,Marker151870,Marker151870,Marker151870,Marker151871,Marker151871,Marker151871,Marker151872,Marker151872,Marker151872
,ID,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20200,20200,20200,20201,20201,20201,20202,20202,20202,20203,20203,20203,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20400,20400,20400,20401,20401,20401,20402,20402,20402,20403,20403,20403,148740,148740,148740,148878,148878,148878,151442,151442,151442,151512,151512,151512,151588,151588,151588,151634,151634,151634,151769,151769,151769,151773,151773,151773,151785,151785,151785,151786,151786,151786,151787,151787,151787,151788,151788,151788,151789,151789,151789,151790,151790,151790,151791,151791,151791,151792,151792,151792,151793,151793,151793,151794,151794,151794,151795,151795,151795,151796,151796,151796,151797,151797,151797,151798,151798,151798,151799,151799,151799,151800,151800,151800,151801,151801,151801,151802,151802,151802,151803,151803,151803,151804,151804,151804,151805,151805,151805,151806,151806,151806,151807,151807,151807,151808,151808,151808,151809,151809,151809,151810,151810,151810,151811,151811,151811,151812,151812,151812,151813,151813,151813,151814,151814,151814,151815,151815,151815,151816,151816,151816,151817,151817,151817,151818,151818,151818,151819,151819,151819,151820,151820,151820,151821,151821,151821,151822,151822,151822,151823,151823,151823,151824,151824,151824,151825,151825,151825,151826,151826,151826,151827,151827,151827,151828,151828,151828,151829,151829,151829,151830,151830,151830,151831,151831,151831,151832,151832,151832,151833,151833,151833,151834,151834,151834,151835,151835,151835,151836,151836,151836,151837,151837,151837,151838,151838,151838,151839,151839,151839,151840,151840,151840,151841,151841,151841,151842,151842,151842,151843,151843,151843,151844,151844,151844,151845,151845,151845,151846,151846,151846,151847,151847,151847,151848,151848,151848,151849,151849,151849,151850,151850,151850,151851,151851,151851,151852,151852,151852,151853,151853,151853,151854,151854,151854,151855,151855,151855,151856,151856,151856,151857,151857,151857,151858,151858,151858,151859,151859,151859,151860,151860,151860,151861,151861,151861,151862,151862,151862,151863,151863,151863,151864,151864,151864,151865,151865,151865,151866,151866,151866,148021,148021,148021,148722,148722,148722,151867,151867,151867,151868,151868,151868,151869,151869,151869,151870,151870,151870,151871,151871,151871,151872,151872,151872
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Speed,Speed,Speed,Speed,AcceleratedSpeed,AcceleratedSpeed,AcceleratedSpeed,AcceleratedSpeed,Palstance,Palstance,Palstance,AccPalstance,AccPalstance,AccPalstance,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Speed,Speed,Speed,Speed,AcceleratedSpeed,AcceleratedSpeed,AcceleratedSpeed,AcceleratedSpeed,Palstance,Palstance,Palstance,AccPalstance,AccPalstance,AccPalstance,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,XSpeed,YSpeed,ZSpeed,Speed,XAcceleratedSpeed,YAcceleratedSpeed,ZAcceleratedSpeed,AcceleratedSpeed,XPalstance,YPalstance,ZPalstance,XAccPalstance,YAccPalstance,ZAccPalstance,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,XSpeed,YSpeed,ZSpeed,Speed,XAcceleratedSpeed,YAcceleratedSpeed,ZAcceleratedSpeed,AcceleratedSpeed,XPalstance,YPalstance,ZPalstance,XAccPalstance,YAccPalstance,ZAccPalstance,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.008333,0.062027,0.995803,-0.062350,0.025331,331.281738,1749.735352,-283.751404,0.041331,-0.566528,0.356594,0.670688,1.103906,-7.064645,-1.436130,7.293167,-7.425555,1.654776,5.397051,-97.227280,102.121391,-7.597961,116.482506,1740.978638,-318.858551,376.084747,1717.105957,-405.875244,537.190796,1771.818848,-198.570435,,,,0.029439,0.937502,0.102601,-0.331205,420.150452,1754.088745,-595.481445,0.127141,-0.935537,-0.477158,1.057863,-8.773242,-3.142969,6.684083,11.468434,0.811937,-0.966290,8.468793,134.393494,-121.051033,34.823685,564.298279,1773.355713,-652.697815,,,,379.142914,1715.884033,-467.016144,129.235901,1737.312744,-575.977112,321.665527,1817.101196,-642.700073,300.671356,1812.133423,-233.909393,2627.877930,37.114849,1375.166504,2654.790283,53.796669,1305.447876,2662.877441,37.598957,1329.977051,2455.666016,133.381348,1465.846313,347.831482,1293.005615,-394.100708,828.732605,762.555542,-79.133972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.016667,0.082209,0.995985,-0.029776,0.019188,333.821838,1742.218140,-280.959930,0.100649,-0.658506,0.347091,0.751154,7.118261,-11.037304,-1.140382,13.183026,-7.575423,2.256822,4.927811,-17.984161,72.245560,-56.308876,118.932991,1744.242554,-314.917175,376.810394,1716.054565,-405.451538,540.530212,1750.518555,-195.934738,,,,0.060444,0.940090,0.082199,-0.325302,422.955078,1743.441650,-597.314941,0.140815,-1.011138,-0.407007,1.099037,1.640918,-9.072067,8.418162,12.484409,2.148330,-2.442035,8.436316,160.367172,-177.089417,-3.897285,568.338318,1752.642578,-654.472412,,,,379.794312,1714.957397,-467.416138,131.171417,1741.076904,-578.575623,325.294952,1801.078857,-653.180420,304.173981,1795.906494,-223.690887,2627.908203,37.158646,1375.141357,2654.772217,53.750614,1305.288330,2662.792480,37.662228,1330.079224,2455.729492,133.388626,1465.885010,348.735229,1293.065796,-393.350037,828.719116,762.599182,-78.957634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.025000,0.101474,0.994761,0.003611,0.011836,336.224335,1734.272827,-278.693085,0.170900,-0.758159,0.332556,0.845344,8.430029,-11.958403,-1.744190,14.734686,-7.740132,2.548668,4.731667,-19.765089,35.021523,-23.537291,121.370087,1746.656372,-310.461273,377.306915,1715.107788,-405.078613,543.687378,1728.989014,-195.190704,,,,0.092758,0.941944,0.057150,-0.317602,425.249847,1731.630371,-599.668762,0.178304,-1.121294,-0.358499,1.190636,4.498681,-13.218755,5.820998,15.128041,3.054534,-2.883808,9.070063,108.744385,-53.012779,76.049644,571.010315,1730.310791,-656.323608,,,,379.792480,1714.170166,-468.047089,134.070374,1743.760376,-583.570984,329.977386,1784.176880,-662.273376,307.737946,1780.541260,-215.915482,2627.908936,37.116982,1375.148560,2654.808105,53.838963,1305.403564,2662.914062,37.719757,1330.128662,2455.738281,133.383133,1465.880371,348.408661,1293.577271,-393.405640,828.764771,762.438599,-79.208107,755.892944,853.199463,-279.767639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.033333,0.119933,0.992042,0.037826,0.006141,337.915527,1725.986450,-277.138245,0.221459,-0.858018,0.301670,0.936078,6.067091,-11.983007,-3.706348,13.933380,-7.981864,2.169766,4.576614,-29.007795,-45.468319,-18.606260,123.512985,1748.341553,-306.677826,377.865784,1714.191772,-404.966461,545.357849,1707.380493,-195.271729,,,,0.123153,0.943457,0.029406,-0.306362,428.106750,1719.301880,-600.281067,0.241648,-1.245234,-0.273699,1.297657,7.601221,-14.872841,10.175975,19.558386,3.726856,-3.692042,8.801018,80.678642,-96.988045,-32.285385,574.483276,1707.947998,-654.688171,,,,380.225220,1713.472046,-468.194824,137.544174,1744.257324,-589.527161,334.820068,1767.897827,-669.350403,310.286041,1766.151489,-210.387222,2627.904785,37.131401,1375.145508,2654.792725,53.803150,1305.384277,2662.789307,37.705070,1330.130981,2455.661133,133.373352,1465.847900,347.809326,1293.246094,-394.334351,829.049927,762.774170,-78.706375,754.333740,851.396606,-273.207672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.041667,0.137010,0.987925,0.072274,0.003117,338.082886,1717.577271,-276.155334,0.209531,-0.924800,0.252473,0.981275,-1.431298,-8.013868,-5.903613,10.056010,-8.128922,1.550823,4.263444,-17.647018,-74.273170,-37.580448,124.917381,1749.213623,-303.886353,377.832764,1713.349365,-404.751373,544.361267,1686.267456,-195.711899,,,,0.152504,0.942955,0.002260,-0.295928,429.656158,1706.558228,-600.223389,0.266005,-1.364648,-0.183369,1.402372,2.922803,-14.329690,10.839552,18.203810,3.677543,-3.336023,8.585470,-5.917568,42.722221,-25.865705,575.578247,1685.666138,-651.768494,,,,380.429047,1712.101074,-468.682617,140.520752,1743.513794,-594.951172,338.831238,1751.854614,-674.144836,310.417786,1752.244873,-206.655762,2627.893555,37.144295,1375.162964,2654.774902,53.808937,1305.359375,2662.957031,37.588715,1330.008301,2455.745605,133.373734,1465.890137,338.857208,1298.854980,-400.568817,829.414246,762.710999,-78.860115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.050000,0.155756,0.982503,0.102092,0.002076,336.780579,1708.929077,-275.694611,0.131971,-0.979365,0.193367,1.006958,-9.307178,-6.547851,-7.092772,13.409152,-7.117328,0.898458,4.664552,121.391365,-78.283699,48.132988,125.562004,1750.228516,-302.059875,376.460266,1710.997559,-404.271088,541.357361,1664.965088,-196.658401,,,,0.182954,0.939612,-0.024819,-0.288167,429.706787,1693.876221,-599.124390,0.229351,-1.445098,-0.087429,1.465794,-4.398487,-9.653906,11.512793,15.655317,3.680778,-2.527314,8.935083,0.388241,97.045120,41.953579,574.610168,1663.231445,-648.173645,,,,380.605621,1710.851562,-468.514893,142.325287,1743.304443,-598.286621,341.020569,1736.841797,-677.147705,310.656799,1738.494385,-203.812378,2627.982422,37.153210,1375.121094,2654.802490,53.806404,1305.397461,2662.829102,37.788090,1330.234375,2455.685791,133.385788,1465.869141,338.244812,1299.030762,-400.609558,828.667236,762.423889,-79.263161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
